artist_id;key_count_C_minor;key_count_Db_minor;key_count_D_minor;key_count_Eb_minor;key_count_E_minor;key_count_F_minor;key_count_Gb_minor;key_count_G_minor;key_count_Ab_minor;key_count_A_minor;key_count_Bb_minor;key_count_B_minor;key_count_C_major;key_count_Db_major;key_count_D_major;key_count_Eb_major;key_count_E_major;key_count_F_major;key_count_Gb_major;key_count_G_major;key_count_Ab_major;key_count_A_major;key_count_Bb_major;key_count_B_major;loudness_count;loudness_mean;loudness_std;loudness_min;loudness_1Q;loudness_median;loudness_3Q;loudness_max;duration_count;duration_mean;duration_std;duration_min;duration_1Q;duration_median;duration_3Q;duration_max;tempo_count;tempo_mean;tempo_std;tempo_min;tempo_1Q;tempo_median;tempo_3Q;tempo_max;danceability_count;danceability_mean;danceability_std;danceability_min;danceability_1Q;danceability_median;danceability_3Q;danceability_max;energy_count;energy_mean;energy_std;energy_min;energy_1Q;energy_median;energy_3Q;energy_max;valence_count;valence_mean;valence_std;valence_min;valence_1Q;valence_median;valence_3Q;valence_max;speechiness_count;speechiness_mean;speechiness_std;speechiness_min;speechiness_1Q;speechiness_median;speechiness_3Q;speechiness_max;acousticness_count;acousticness_mean;acousticness_std;acousticness_min;acousticness_1Q;acousticness_median;acousticness_3Q;acousticness_max;instrumentalness_count;instrumentalness_mean;instrumentalness_std;instrumentalness_min;instrumentalness_1Q;instrumentalness_median;instrumentalness_3Q;instrumentalness_max;liveness_count;liveness_mean;liveness_std;liveness_min;liveness_1Q;liveness_median;liveness_3Q;liveness_max;last_updated
003A21oEyc5t39CvAfzxpF;0.0;1.0;3.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;12.0;-11.429;4.142;-19.208;-12.532;-10.14;-8.734;-7.005;12.0;236825.75;69383.646;82048.0;248473.75;263646.0;273122.5;288000.0;12.0;123.898;30.629;79.44;108.732;123.39;135.041;200.828;12.0;0.435;0.087;0.278;0.391;0.428;0.48;0.624;12.0;0.527;0.259;0.13;0.377;0.578;0.71;0.884;12.0;0.389;0.21;0.125;0.242;0.336;0.538;0.815;12.0;0.057;0.024;0.031;0.043;0.05;0.054;0.119;12.0;0.177;0.254;0.0;0.015;0.089;0.174;0.803;12.0;0.09;0.257;0.0;0.0;0.003;0.018;0.898;12.0;0.114;0.055;0.028;0.089;0.111;0.139;0.222;2022-01-31 12:27:17.865649
00CoCNLLdB7cWFgA8NG5q9;0.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0;2.0;2.0;1.0;0.0;2.0;0.0;4.0;4.0;2.0;0.0;0.0;27.0;-7.735;1.651;-12.214;-8.573;-7.541;-6.814;-5.311;27.0;206947.037;54992.166;47076.0;187677.5;205721.0;243004.5;277710.0;27.0;120.723;32.422;79.821;101.01;104.992;133.062;180.045;27.0;0.674;0.109;0.284;0.645;0.679;0.71;0.842;27.0;0.663;0.119;0.385;0.578;0.667;0.722;0.86;27.0;0.549;0.215;0.138;0.476;0.563;0.655;0.971;27.0;0.045;0.02;0.026;0.034;0.039;0.052;0.108;27.0;0.31;0.254;0.027;0.131;0.207;0.398;0.926;27.0;0.212;0.304;0.0;0.008;0.058;0.337;0.973;27.0;0.176;0.111;0.065;0.101;0.119;0.246;0.409;2022-01-31 12:27:18.439906
00DSeAeVgxhwUrJbjbJMoq;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;11.0;-5.988;0.595;-7.151;-6.304;-5.867;-5.6;-5.161;11.0;201327.0;36069.18;128000.0;194353.0;214226.0;226113.0;242240.0;11.0;150.676;28.366;110.67;123.92;161.468;170.068;189.256;11.0;0.533;0.115;0.327;0.472;0.495;0.599;0.716;11.0;0.752;0.116;0.599;0.665;0.698;0.847;0.937;11.0;0.813;0.142;0.573;0.725;0.868;0.924;0.963;11.0;0.059;0.03;0.032;0.039;0.04;0.078;0.113;11.0;0.185;0.181;0.001;0.013;0.136;0.316;0.493;;;;;;;;;11.0;0.271;0.19;0.041;0.146;0.248;0.349;0.677;2022-01-31 12:27:19.355496
00LWclhZ87DH0R9AokuBY0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0;2.0;0.0;2.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;17.0;-10.947;2.661;-15.881;-13.792;-10.153;-8.562;-7.8;17.0;218783.941;45350.791;163772.0;180437.0;208875.0;248928.0;298333.0;17.0;120.827;42.162;83.189;90.487;100.054;139.958;201.256;17.0;0.554;0.204;0.226;0.422;0.555;0.757;0.859;17.0;0.418;0.169;0.13;0.306;0.364;0.504;0.717;17.0;0.483;0.18;0.108;0.368;0.474;0.584;0.779;17.0;0.109;0.082;0.031;0.044;0.083;0.159;0.286;17.0;0.625;0.3;0.256;0.325;0.785;0.897;0.974;17.0;0.05;0.109;0.0;0.0;0.001;0.02;0.413;17.0;0.181;0.193;0.075;0.093;0.106;0.12;0.673;2022-01-31 12:27:19.919009
00WktmhLWhYgGRHC9wBX6N;1.0;1.0;2.0;0.0;6.0;0.0;2.0;1.0;1.0;11.0;0.0;4.0;16.0;0.0;6.0;0.0;3.0;2.0;0.0;10.0;1.0;9.0;2.0;1.0;79.0;-13.259;4.458;-25.734;-16.878;-11.968;-9.666;-5.349;79.0;253689.443;215943.154;25120.0;160575.5;223393.0;295949.5;1812026.0;79.0;114.204;27.574;54.931;98.555;116.97;120.206;179.975;79.0;0.487;0.144;0.173;0.38;0.511;0.595;0.818;79.0;0.499;0.207;0.103;0.334;0.504;0.665;0.931;79.0;0.458;0.235;0.0;0.288;0.428;0.631;0.966;79.0;0.043;0.015;0.024;0.033;0.037;0.048;0.095;79.0;0.355;0.331;0.0;0.044;0.242;0.667;0.981;79.0;0.648;0.335;0.0;0.41;0.812;0.899;0.976;79.0;0.181;0.12;0.03;0.099;0.145;0.224;0.713;2022-01-31 12:27:20.776490
00XDxYUUePV5W4SYMOQRTV;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;-5.235;0.242;-5.581;-5.303;-5.165;-5.098;-5.03;4.0;448345.75;83875.671;377424.0;379905.0;433730.0;502170.75;548499.0;4.0;99.012;1.161;97.998;98.01;99.012;100.014;100.024;4.0;0.813;0.072;0.75;0.754;0.804;0.862;0.895;4.0;0.694;0.034;0.655;0.678;0.693;0.71;0.737;4.0;0.818;0.063;0.728;0.806;0.835;0.847;0.874;4.0;0.063;0.003;0.059;0.062;0.064;0.065;0.065;4.0;0.118;0.071;0.036;0.069;0.126;0.174;0.182;4.0;0.152;0.247;0.022;0.029;0.032;0.156;0.523;4.0;0.092;0.033;0.064;0.076;0.082;0.098;0.139;2022-01-31 12:27:21.620785
00demsNI1p5KmzWGlrnrdh;0.0;2.0;7.0;0.0;54.0;4.0;3.0;7.0;0.0;27.0;1.0;26.0;33.0;5.0;55.0;0.0;21.0;22.0;0.0;34.0;0.0;50.0;3.0;6.0;360.0;-7.073;2.472;-26.154;-8.135;-6.45;-5.49;-3.369;360.0;225631.736;108587.399;29280.0;159525.75;206959.5;276717.25;1171426.0;360.0;129.934;32.39;65.227;102.33;130.635;159.141;203.256;360.0;0.331;0.113;0.089;0.25;0.325;0.404;0.65;360.0;0.768;0.185;0.112;0.646;0.821;0.923;0.997;360.0;0.38;0.195;0.036;0.228;0.36;0.521;0.963;360.0;0.066;0.05;0.024;0.036;0.051;0.077;0.376;360.0;0.095;0.188;0.0;0.001;0.008;0.08;0.966;360.0;0.141;0.26;0.0;0.0;0.007;0.124;0.96;360.0;0.371;0.279;0.042;0.124;0.273;0.618;0.989;2022-01-31 12:27:22.157453
00ii2VLLLhcMIc41jDRigo;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;4.0;2.0;0.0;9.0;0.0;0.0;0.0;0.0;24.0;-9.494;11.42;-60.0;-7.002;-6.115;-5.311;-4.418;24.0;220875.458;124359.042;13226.0;172046.0;217066.5;261789.5;569560.0;24.0;120.55;46.309;0.0;104.971;130.037;156.028;170.084;24.0;0.37;0.153;0.0;0.335;0.364;0.473;0.654;24.0;0.666;0.276;0.0;0.602;0.749;0.848;0.957;24.0;0.31;0.188;0.0;0.142;0.329;0.441;0.677;24.0;0.077;0.183;0.0;0.034;0.043;0.049;0.931;24.0;0.057;0.113;0.0;0.001;0.009;0.032;0.399;24.0;0.104;0.249;0.0;0.0;0.0;0.013;0.88;24.0;0.2;0.157;0.0;0.094;0.126;0.336;0.669;2022-01-31 12:27:23.612140
00mnSDav4IeRL2CoB8JzPG;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;14.0;-6.165;1.238;-9.565;-6.452;-5.955;-5.5;-4.661;14.0;256181.643;61930.184;98365.0;230034.75;261029.5;304327.25;345405.0;14.0;136.68;21.6;99.998;120.453;140.988;148.033;171.717;14.0;0.504;0.068;0.386;0.456;0.52;0.55;0.628;14.0;0.763;0.146;0.389;0.695;0.764;0.869;0.943;14.0;0.339;0.169;0.118;0.251;0.314;0.408;0.772;14.0;0.039;0.01;0.026;0.032;0.04;0.044;0.063;14.0;0.055;0.189;0.0;0.002;0.004;0.008;0.711;14.0;0.004;0.011;0.0;0.0;0.0;0.0;0.041;14.0;0.291;0.203;0.083;0.139;0.262;0.366;0.849;2022-01-31 12:27:24.272829
00rBW4kYaUkPTrgzfNypyL;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;1.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;3.0;18.0;-8.565;1.659;-14.096;-8.835;-8.366;-7.434;-6.657;18.0;190752.944;50862.524;87061.0;158906.25;191024.0;217936.0;314067.0;18.0;123.579;13.928;92.048;120.045;124.03;126.995;157.933;18.0;0.565;0.072;0.417;0.526;0.555;0.626;0.675;18.0;0.58;0.147;0.228;0.496;0.604;0.691;0.808;18.0;0.435;0.24;0.08;0.182;0.488;0.616;0.751;18.0;0.034;0.014;0.026;0.028;0.029;0.034;0.087;18.0;0.301;0.302;0.001;0.066;0.188;0.474;0.939;18.0;0.235;0.346;0.0;0.003;0.01;0.534;0.958;18.0;0.137;0.116;0.053;0.1;0.111;0.119;0.583;2022-01-31 12:27:24.893482
