artist_id;artist_name;bio;popularidad;followers;saved_albums;total_albums;spotify_url;image_640x640;image_320x320;image_60x60;last_updated
003A21oEyc5t39CvAfzxpF;hombre sin nombre;;0;27;2;2;https://open.spotify.com/artist/003A21oEyc5t39CvAfzxpF;https://i.scdn.co/image/ab67616d0000b273954046bb825a2a10d7b200e3;https://i.scdn.co/image/ab67616d00001e02954046bb825a2a10d7b200e3;https://i.scdn.co/image/ab67616d00004851954046bb825a2a10d7b200e3;2022-01-25 08:30:13.174833
00CoCNLLdB7cWFgA8NG5q9;cítrico;;25;4225;11;14;https://open.spotify.com/artist/00CoCNLLdB7cWFgA8NG5q9;https://i.scdn.co/image/ab6761610000e5eb45c8326ce0da116cf644aa80;https://i.scdn.co/image/ab6761610000517445c8326ce0da116cf644aa80;https://i.scdn.co/image/ab6761610000f17845c8326ce0da116cf644aa80;2022-01-25 08:30:24.368950
00DSeAeVgxhwUrJbjbJMoq;escuela de la calle;;0;142;1;3;https://open.spotify.com/artist/00DSeAeVgxhwUrJbjbJMoq;https://i.scdn.co/image/ab67616d0000b2736eca85b58b24210637859da8;https://i.scdn.co/image/ab67616d00001e026eca85b58b24210637859da8;https://i.scdn.co/image/ab67616d000048516eca85b58b24210637859da8;2022-01-25 09:13:51.007671
00LWclhZ87DH0R9AokuBY0;mimi lagarto;;10;329;9;19;https://open.spotify.com/artist/00LWclhZ87DH0R9AokuBY0;https://i.scdn.co/image/ab6761610000e5eb79a0f596cf9e6d647355ab75;https://i.scdn.co/image/ab6761610000517479a0f596cf9e6d647355ab75;https://i.scdn.co/image/ab6761610000f17879a0f596cf9e6d647355ab75;2022-01-25 09:14:01.098688
00WktmhLWhYgGRHC9wBX6N;machy madco;;0;50;9;10;https://open.spotify.com/artist/00WktmhLWhYgGRHC9wBX6N;https://i.scdn.co/image/ab67616d0000b2733e8bbd830a63ff43863946c0;https://i.scdn.co/image/ab67616d00001e023e8bbd830a63ff43863946c0;https://i.scdn.co/image/ab67616d000048513e8bbd830a63ff43863946c0;2022-01-25 09:14:25.345964
00XDxYUUePV5W4SYMOQRTV;cambailafón;;0;7;1;1;https://open.spotify.com/artist/00XDxYUUePV5W4SYMOQRTV;https://i.scdn.co/image/ab67616d0000b27341afc363b85bd369796b98ac;https://i.scdn.co/image/ab67616d00001e0241afc363b85bd369796b98ac;https://i.scdn.co/image/ab67616d0000485141afc363b85bd369796b98ac;2022-01-25 09:14:30.127533
00demsNI1p5KmzWGlrnrdh;pez;;34;28371;31;41;https://open.spotify.com/artist/00demsNI1p5KmzWGlrnrdh;https://i.scdn.co/image/ab6761610000e5eb3f37f471fb9bbffb66ac5442;https://i.scdn.co/image/ab676161000051743f37f471fb9bbffb66ac5442;https://i.scdn.co/image/ab6761610000f1783f37f471fb9bbffb66ac5442;2022-01-25 09:15:59.458360
00ii2VLLLhcMIc41jDRigo;oime;;0;52;3;3;https://open.spotify.com/artist/00ii2VLLLhcMIc41jDRigo;https://i.scdn.co/image/ab6761610000e5ebe3154a3b826dca26efc56b6b;https://i.scdn.co/image/ab67616100005174e3154a3b826dca26efc56b6b;https://i.scdn.co/image/ab6761610000f178e3154a3b826dca26efc56b6b;2022-01-25 09:16:09.227096
00iubcMZlMkO4lMUJSrHvr;elias lugon;;0;32;0;1;https://open.spotify.com/artist/00iubcMZlMkO4lMUJSrHvr;https://i.scdn.co/image/ab6761610000e5eb0e14c46d927cab58949c3d81;https://i.scdn.co/image/ab676161000051740e14c46d927cab58949c3d81;https://i.scdn.co/image/ab6761610000f1780e14c46d927cab58949c3d81;2022-01-25 09:16:14.071177
00mnSDav4IeRL2CoB8JzPG;monos de polvo;;0;5;1;1;https://open.spotify.com/artist/00mnSDav4IeRL2CoB8JzPG;https://i.scdn.co/image/ab67616d0000b2732d168c0b9fd78358cdbec4df;https://i.scdn.co/image/ab67616d00001e022d168c0b9fd78358cdbec4df;https://i.scdn.co/image/ab67616d000048512d168c0b9fd78358cdbec4df;2022-01-25 09:16:21.255740
